user_id,song,artist,rating,song_id
cek,Someone You Loved,Lewis Capaldi,1.0,1839
cek,Congratulations,Post Malone,1.0,1700
cek,rockstar (feat. 21 Savage),Post Malone,1.0,1732
cek,Better Now,Post Malone,1.0,1790
cek,Break Free,Ariana Grande,1.0,1398
cek,Paparazzi,Lady Gaga,1.0,895
cek,Bad Romance,Lady Gaga,1.0,903
cek,Misery,Maroon 5,1.0,1016
aldo,Wow.,Post Malone,1.0,1860
aldo,Circles,Post Malone,1.0,1925
aldo,"break up with your girlfriend, i'm bored",Ariana Grande,1.0,1876
aldo,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,1.0,1654
aldo,Youngblood,5 Seconds of Summer,1.0,1779
aldo,She Looks So Perfect,5 Seconds of Summer,1.0,1421
aldo,Sick Boy,The Chainsmokers,1.0,1763
aldo,Something Just Like This,The Chainsmokers,1.0,1640
